artist,lyrics,song,album,releaseyear
Mac Miller,"[Verse 1: Mac Miller],Uh, lemme get a one-way ticket, haven't picked a destination,I'm just tryna catch the train before it has to leave the station,Packin' no bags, nothin' but the clothes on my back,With a Cognac, let me sip it, tryna to relax,Red wine up in my glass plus Filet Mignon,I got army right up under me, I'm Genghis Khan,Yeah, it's me against the world, I guess I'll take them on,I might stop and see my girl, but I ain't stayin' long,What if I'm gone, what the fuck you gon' think then?,I told my story, put my life inside this ink pen,Said I'll make it big when, everybody know me,Well, I made it big and, everybody phony,Haha, so could you pour me, I need a cup,No, none of that liquor, mixin' purple stuff,I could talk my pain, but would it hurt too much,Go head, judge me, hate cost money, but this love free,[Hook],They just dreams, turn 'em to reality,Double-cup of lean, standin' on my balcony,Looking at the sky, thinkin' it could all be mine,All we got is memories, so what the fuck is time?,They just dreams, turn 'em to reality,Double-cup of lean, standin' on my balcony,Looking at the street, thinkin' it could all be mine,All we got is memories, so what the fuck is time?,So what the fuck is time?,Ask 'em, what the fuck is time? (x2),[Verse 2: Mac Miller],What do you do when you think you could be an icon?,Because all these people get to screamin' with the lights on,Like they just seen a ghost, earn my stripes, zebra coat,Racin' to the gate but my flight gone,Now these writers taking shots without a Nikon,But I don't fight though, figure it's a typo,Seems we in some shit now, gonna be alright though,Potion in my sprite, then my night slows, down, down,See, that's exactly what I need,My khaki's filled with cheese, my homie Sap is on the beat,Like it was ""Donald Trump"", a fucking hit but I call it love,They throw it on when I'm walking in the club,Hey, this the Burgh shit, I don't deserve this,Well, I don't think you lookin' for me on the surface,Learn quick, now I'm big time,Fill your cup up, and I'mma sip mine,[Hook],They just dreams, turn 'em to reality,Double-cup of lean, standin' on my balcony,Looking at the sky, thinkin' it could all be mine,All we got is memories, so what the fuck is time?,They just dreams, turn 'em to reality,Double-cup of lean, standin' on my balcony,Looking at the street, thinkin' it could all be mine,All we got is memories, so what the fuck is time?,So what the fuck is time?,Ask 'em, what the fuck is time? (x2)",Thoughts From A Balcony,Macadelic,2012
Macklemore,"[Verse 1: Macklemore],Can't nobody get up in my car today,Back seat feeling like a charter plane,Bumping Silkk Da Shocker Charge It 2 Da Game,Paint dripping like I'm whipping marmalade (whoa),Look at the way that I'm shining,I don't be checking the mileage,She said how much is that Rolie?,I said don't worry I'm timeless,Watching Toy Story 3, that's a great fucking movie,City of Jimi, Kurt, Quincy,City of me, Eddie, and Bruce Lee (whoa),King of the road I drive slow like whoa,And I just switched over to Geico like whoa,Celebrating these life goals,But you ain't getting no ride home,[Chorus],I be riding through the town,My music loud,Windows down yeah you can hear me now,I turn it up, I need that bass,And my chain so bright can't see my face,I be riding through the town, town, town,I be riding through the town, town, town,I be riding through the town, town, town,I be riding through the town, town, town,I be riding through the town,[Verse 2: Macklemore],All eyes on me now,I be riding through Seatown,Taking pics when I eat out,Girls ask me to freestyle,Neighbors hate it when I speed out,I ain't turning these beats down,GPS and I reroute,Chuck the deuce and I peace out,Sun roof tinted, don't need your opinions,I be on my business, and you be on Tinder,And if I was single, I'd be right there with ya,But I'm committed, keep my dick in my britches,The women are moving their bodies,Sunset through numerous palm trees,Followed by the paparazzi,But they don't get into our party,Tell the bell hop that I'm sorry,We 40 deep in the lobby,Travel the world with a posse,But soon I'll be home,So call up my momma and tell her to pick up the phone,Cause I need that homemade lasagna that's fresh out the stove,Grabbing the keys and I'm fresh out the door,King of my city whose next on the throne,[Chorus],I be riding through the town,My music loud,Windows down yeah you can hear me now,I turn it up, I need that bass,And my chain so bright can't see my face,I be riding through the town, town, town,I be riding through the town, town, town,I be riding through the town, town, town,I be riding through the town, town, town,I be riding through the town,[Verse 3: Lil Yachty],When you hear that speaker sound, ound, ound,You know who it is, Lil Boat in your town,Whoa this beat so happy I will never frown,And my hair so nappy it's gonna be a problem braiding it down,Oh no, oh no, we been grinding from the go,Jump start, I just bought a new whip, push start,Push the coup down the highway like a go kart,All my niggas keep that toaster with them like a Pop Tart,Make her moan and she sound just like Mozart,Pure art,I think they mad because I broke into the game with a crowbar,Top the charts, Hip Hop ain't the same we the new stars,Rock stars, look at all my chains call them ice pops,Ring pops, let the rain drop on the wrist watch,Fuck the cops, and fuck Donald Trump, bitch it's Macklemore and Lil Boat,Anything else you need to know,[Chorus],I be riding through the town,My music loud,Windows down yeah you can hear me now,I turn it up, I need that bass,And my chain so bright can't see my face,I be riding through the town, town, town,I be riding through the town, town, town,I be riding through the town, town, town,I be riding through the town, town, town,I be riding through the town",Marmalade,GEMINI,2017
Shindy,"I„Roli, Roli"",Ich bin von Kopf bis Fuß in Yeezy-Season-One,Mama sagt, ich zieh' mich an als wär' ich Vietcong,Jede Woche neue Karre, neue Liaison,Ich nenn' sie Cherry, denn die Pussy schmeckt wie Piemont,Kirsche, 90 Mille Cash in einem Briefkuvert,Steuerfahndung klingelt als ob ich Bushido wär',Leder-Bikerjacke, Badboy - Roger Klotz,Ich rufe: „Schüsse auf die Bitches"", und ich meine keine Wodkashots,Immer große Klappe wie ein Schwertfisch,Teenies kreischen, wenn sie Shindy sehen - BlairWitch,Ja, ich hab' ein Fabel für das Dolce Vita,Reservier' bei Nobuyuki Matsuhisa,Siebenhundert-Euro-Sweater ohne Aufdruck,Wenn ich eines Tages sterbe, dann an Kaufsucht,Checke jeden Morgen Mr. Porter „What's new"",Und die Bitch bringt mir Espresso wie sie Gott schuf, yeah,Baby, Baby!,Bitches, ich bin voll gold wie die Roli,Präsidentensuite - ballen so wie Kobe,Sitze auf der Couch, Yeezys auf dem Holztisch,Das ist das Gefühl, wenn Sonny anruft, weil du Gold bist, ah,Bitches, ich bin voll gold wie die Roli,Präsidentensuite - ballen so wie Kobe,Sitze auf der Couch, Yeezys auf dem Holztisch,Das ist das Gefühl, wenn Sonny anruft, weil du Gold bist, ah,Koffer voller High-Fashion,Kann mir bitte einer ein' lila Schein wechseln?,Ah, schnelles Geld verdient sich nicht am Schreibtisch,Baby, ich hab' Sidechicks von den Sidechicks,Ah, Bitch, ich bin im Tower, so wie Donald Trump,Ich renn' die Scheiße, so wie Forrest Gump,Yves Saint Laurent Paris, Five-Pocket-Jeans,Und die Bitch geht auf die Knie als wär's ein Gottesdienst,Selbst mein Pyjama ist designer, das ist Derek Rose,Wollt ihr Penner mir erzählen, ihr kennt nicht Derek Rose!?,Seh' die Bitches durch den Türspion im Glitzerkleid,Und die werden alle flachgelegt wie Pizzateig,Das hier ist kein Lovesong, ich bin nicht Craig David,Diskutier mit mir nicht über Ästhetik,Haider Ackermann beliefert aus dem Atelier,Und diese Russenweiber stalken wie der KGB, yeah,Baby, Baby!,Bitches, ich bin voll gold wie die Roli,Präsidentensuite - ballen so wie Kobe,Sitze auf der Couch, Yeezys auf dem Holztisch,Das ist das Gefühl, wenn Sonny anruft, weil du Gold bist, ah,Bitches, ich bin voll gold wie die Roli,Präsidentensuite - ballen so wie Kobe,Sitze auf der Couch, Yeezys auf dem Holztisch,Das ist das Gefühl, wenn Sonny anruft, weil du Gold bist, ah,Baby, Baby!",ROLI,DREAMS,2016
Odd Future,"This life is a game if you wanna play,Counting all your own mistakes,Living it with no delay,So fast I'm getting growing pains,Father didn't show me my instincts to take the open lane,I go insane,All the problems come with my growing age,Blowing haze tryna clear the doubt that's sitting on my brain,I don't complain but the kid inside me's feeling so restrained,Gotta stay golden,Let desire rekindle the flame,Searching for the Fountain of Youth,When I'm free in my brain,Bring in the horns,You hear that fucking brass,That's little boy nigga with the trumpets,Marching with the bandwagon,Looking for his heart,No sleeve but his hand carry muskets,Lurking in the meadows, Oblivion,Mothafuck Geppetto, he's a leader not a puppet,Some professors nuttier than Klump's dick,So think before you blink and aye-aye make assumptions,Niggas,Your left, your left, your left, right left,Niggas is coming,Your left, your left, your left, right left,They want a story - a story,I write the shit that I find very amusing,Cause all the other fucking stories are boring,It's really awkward to know that a bunch of kids do adore me,It's like I fathered these fuckers,So you won't find me on Maury,I'm still a kid in my heart so I have a problem maturing,But it will come from experiences and shit I see touring,I'm like a bird when I'm soaring, really high,And I'm really horny, from watching this porn,Nope, but,Bring in the horns,You hear that fucking brass,That's little boy nigga with the trumpets,Marching with the bandwagon,Looking for his heart,No sleeve but his hand carry muskets,Lurking in the meadows, Oblivion,Mothafuck Geppetto, he's a leader not a puppet,Some professors nuttier than Klump's dick,So think before you blink and aye-aye make assumptions,Niggas,Your left, your left, your left, right left,Niggas is coming,Your left, your left, your left, right left,5, 4, 3, 2, and where's Tyler,Bottom of the countdown, shit ain't been the same,Since I found out Hodgy Beats ghost wrote for Bow-Wow,Now I'm the loud shock value style foul mouth fucker,That your teenage kid likes to bow down,Riding around town in Seattle,With the same shotgun that Kurt used to click-clack, boom-pow,Still suicidal but some assume that I'm cool now,Cause I got a fucking award and my own room now,Nope but I can flip shit like a couch pillow,And have my death silent like a loose vowel,The bandwagon turned into caboose, so,So, don't let that little nigga trumpet lose sound, just let him play",Sam (Is Dead),The OF Tape Vol. 2,2012
Nicki Minaj,"I just took her name and made the bitch a LLC,Stuff a couple stacks up in, then bitch, get on your feet,You make twice as much if you switch it up, just to see,To you he's rich and famous, but he's just a guy to me,I feel like I'm King Kong, name still going ding-dong,It's two girls gettin' more money, and they don't rap, they sing songs,I stay with that pink on, pink furs and them pink thongs,Goons out if they blink wrong, think hard but don't think long,Pink Friday had Eminem, spit hard but I'm feminine,Iconic trio on Monster, Goblins and Gremlins,What's left that I didn't do? You bit the forbidden fruit,You thought you'd get my spot? Who the fuck was kiddin' you?,Took a lil' break but I'm back to me,Tryna make a new Nicki with a factory,They'll never toe to toe on a track with me,There'll never be another one after me,'Cause the skill levels still a half of me,Blasphemy, my niggas will blast for me,All these low IQ hoes baffle me,Tell 'em that I watch but just take a bath for me,Put the trophies in my crib like a athlete,I see them give me fake love but that trash is weak,Man, you know that I rip every rap and beat,You know Nicki gon' eat, Bon Apetit,Used to get real hyped off a half a mil',Used to get real hyped off half a pill,We don't pay niggas to front like they like my shit,We don't pay niggas to come in and write my shit (uh),Now carry on, now carry on,Now carry on, now carry on,Swish, swish, I'm just gettin' my Curry on,G6 flow, all Louis V carry on,I just took her name and made the bitch a LLC,Stuff a couple stacks up in, then bitch, get on your feet,You make twice as much if you switch it up, just to see,To you he's rich and famous, but he's just a guy to me,You made me, you made me, yeah,You made me, you made me, yeah, yeah,On blood, you made me, you made me, yeah, yeah, yeah,You made me (okay), you made me (hahaha),Yo, you made me do it, hoe, I told you, get low (told you get low),I poppin' tens but they gotta be (be),I'm New York Nick, I'm ballin' with Carmelo (ok 'Melo),I'm wavy, word to Shawty Lo, hello,How your jacket say Porsche and you never rode a Porsche?,How you supposed to meet the quarter when you never went North?,How the fuck you got Ferraris when you never went sport?,All that hoopin' and hollerin' still ain't scorin' on the court (rrah),You made me, you made me, yeah,You made me, you made me, yeah, yeah,On blood, you made me, you made me, yeah, yeah,You made me (okay), you made me (hahaha),Ay, yo, look at what they made me do, they made me do,Swerve the foreign on 'em, navy blue, they baby blue,Look at how they started pussy poppin' when 80 flew,All my niggas move that Britney, Ari', yeah, Katy too,Niggas gassed on it, really though, gas I pump them,Straight trash on the really, yo, yes, I dumped him,Push the limits, I'm a pushy bitch, yes, I bumped him,Push past filthy rich, ask I trumped them,'Cause I scare her, scare her, my biggest error, error,Never been clearer, clearer, don't Fawcett, Farrah Farrah,Because you'll never be me, that's word to Bella, Gigi,Dolce Gabbana, DG, pretty gang rated PG (woah),Now carry on, now carry on,Now carry on, now carry on,Swish, swish, I'm just gettin' my Curry on,G6 flow all Louis V carry on,I just took her name and made the bitch a LLC,Stuff a couple stacks up in, then bitch, get on your feet,You make twice as much if you switch it up, just to see,To you he's rich and famous, but he's just a guy to me,On blood, you made me, you made me, yeah,You made me, you made me, yeah, yeah,On blood, you made me, you made me, yeah, yeah, yeah,You made me (okay), you made me (hahaha)",LLC,Queen (Bonus Version),2018
Young Thug,"Pour that shit up fool, the sauce - monster!,Man so you ain't gonna pour?,Oh so you're gonna make a nigga beg you to pour? Okay bool,You dig,Hopped out my mothafuckin' bed,Hopped in the mothafuckin' coupe (SKRRRRR),Pulled up on the Birdman (BRRRRR),I'm a beast, I'm a beast, I'm a mobster,You got 50 whole bands, you'll be my sponsor (just for the night),Them snakes on the plane, me and Kanye-conda (condas),Yeeeah...,I might piece him up and let my partner smoke him,Chuck-E-Cheese him up, I pizza him, I roll him,I'm a gangster, I don't dance, baby I poke,Right now I'm surrounded by some gangsters from Magnolia,I heard I put it in the spot, yessir she told me,My niggas muggin', these niggas YSL only,I heard my Nolia niggas not friendly, like no way,But we not friendly either, you know it,Yeah thumbs up,I've seen more holes than a golf course on Donald Trump's course,My bitch a tall blooded horse, nigga, bronco,And if you catch us down bet you're not gon' trunk us,You got a body, lil nigga, we got a ton of 'em,You got some Robin's, lil nigga, we got some Batmans,I let that choppa go ""blocka, blocka,"" get back, son,You got them MJs, nigga, I got them Jacksons (racks),But really what is it to do,When the whole world constantly hatin' on you?,Pussy niggas hold their nuts, masturbatin' on you,Meanwhile the fuckin' federal baitin' on you,Nigga tell me what you do,Would you stand up or would you turn to a pussy nigga?,I got a hundred things to do,And I can stop rappin' but I can't stop stackin' fuckin' figures,Yeah, I'm from that mothafuckin' 'Nolia, nigga,Birdman'll break a nigga nose, lil' nigga,You need to slow your fuckin' roll, lil' nigga,We created Ks on shoulders, nigga,I'm a scary fuckin' sight, lil' nigga,We won a hundred mil' on fights, lil' nigga,A hundred bands, sure you're right, lil' nigga,I keep some AKs on my flights, lil' nigga,Birdman Willie B,Smoke some stunna blunts, now my eyes Chinese,Hundred K on private flights overseas,Choppas City nigga, free BG,Bentley with the doors all 'round, not a Jeep,Rich nigga shit, smoke two pounds in a week,Can't find a bitch that don't know we them streets,Bitches know that I am Birdman, that's OG,But really what is it to do,When the whole world constantly hatin' on you?,Pussy niggas hold their nuts, masturbatin' on you,Meanwhile the fuckin' federal baitin' on you,Nigga tell me what you do,Would you stand up or would you turn to a pussy nigga?,I got a hundred things to do,And I can stop rappin' but I can't stop stackin' fuckin' figures,Nigga I'm a crack addict,Thought about lettin' them get a cut, then I went and snagged at it,The new Boosie Badazz at it,I'ma drop a nigga life, just like a bad habit,I stick to the ground like a mothafuckin' rug,I'm a big dog, lil' fuck nigga you a pup,Lil' bitch clean your drawers before you think you're a thug,Before I be in front your shows, just like your pub,I ain't even lyin', baby,I swear to God I ain't lyin', baby, nooo,First I'll screw you without these pliers, baby,I might dap you like, ""good try, baby"",Big B livin', baby,Them boys on my left throwin' up Cs,I promise their mama see them this week,And I don't break promises with my Ds (them my dogs),I want Ms and cheese, mister Mickey Ds,She know I am a beast, I am so obese,In Miami I swear they don't got good weed,Wiz Khalifa can you send me some weed please?,Yeah, overseas, nigga, top floor, clear windows, nigga,Glass house, drankin' GT, you understand?,We in that Red Light District, you understand?,3 and 1, that mean 3 on me, nigga, you understand me?,Just livin' the life, boy, aye Thug, just a dollar for a 1, nigga,We can blow a mil', boy. Rich Gang, YSL, blatt!",Constantly Hating,Barter 6,2015
Lil Wayne,"[Intro: Drake],Yeah, Dedication 6, of course,Shout out Guru for sendin' me the beat, too,Young Angel, Young Lion,More Life, no dyin',Yeah, alright, I got it, yeah,[Verse 1: Drake],Super Bowl goals, I'm at the crib with Puff,He got Kaepernick on the phone, he in a whole different mode,Angel hair at 2AM for Bey and Hov,Just to show them how I treat the city like my humble abode,Ayy, tell me if TD Bank is approvin' loans,I'm thinkin' of payin' Wayne what Universal owes,My nigga spent a lifetime goin' platinum and gold,He should own half of the label, shit outta control,Somebody get Larry Jackson on the phone,I need some ownership if we pressin' go,'Cause business is boomin' on behalf of me,I need a bite outta the Apple like Adam and Eve,We gon' have to break the billi' curse,I need my paper long like ""A Milli"" verse,Or too long like a sentence from a Philly judge,Fuck is the point in all the beefin' when we really blood?,Nobody wins when the family feuds, nigga,Everybody gotta eat, we can't exclude niggas,I make the crib, expandin' pools, and expandin' rooms,Addin' Hammam Spas with tannin' booths, nigga,That's truth, no boost, nigga,But this isn't all about callin' truce,I'm still dishin' out verbal abuse,That shit could get re-introduced,If somebody got somethin' they urgin' to prove, nigga,Inspirin' to the youth,New Years Eve, lookin' like a royal flush,Wait, we all in the same suit,I'm Hall of Fame in the booth, nigga,My karma makin' the news, nigga,This pudding taste like the proof, nigga,If I ever see Trump, he better salute niggas,Much as we do, nigga (for real),[Interlude: Lil Wayne],Yeah, yeah, yeah, yeah,Six shit,[Verse 2: Lil Wayne],I could care less 'bout your squad,I don't connect when I'm flyin',I'm on a jet and it's mine,I just hope the weather is fine,I took the jet to Dubai,I took the jet to Milan,I took the jet way to Africa, shout out my nigga Akon,Your bitch sweatin' my squad,Please get the sweat out her eye,I put the dick in her spine,I fucked the bitch in her prime,Don't get my credit declined,Give all the credit to Moms,I flipped the bird at the Bird; hey, what's for dinner? Popeyes,These chickens got bird flu,And they chirp, chirp too,Always sung, never flew,These boys hot girls too,If money grow on trees, I climb and rest in that bitch,Build a treehouse and knock the bird nest out that bitch,Stuck my neck out and shit,Then got the heck out that shit,And when I did, I took the special effect out of that shit,Tunechi F 'round this bitch,The best thing left 'round this bitch,All you niggas some bitches, I feel like Hef 'round this bitch,You call her Stephanie, I call her Steph 'round this bitch,Now back to whippin' the baby on some step mama shit,I come direct with my shit,I come correct with my shit,A blank check on your face, put some respect on my shit,Branches startin' to shake,Here comes the leaves, get the rake,I want my piece of the cake,It should be sweeter than cake,Here come the leaves, get the rake,And we ain't leavin' the rake,We made the cleanest escape,Although I bleeped in your face,You playin' with the right one today,Your flag is a white one today,You wearin' them tight ones today,Check me a right one today,You playin' with fire today,The Angel and Lion are greats,Oh my God, lightning strikin' twice in this place,Should we make a wish or should we make it right in this place?,All this motherfuckin' beef, I need some rice on this plate,Talked to your wifey today,She feelin' triflin' she say,Talked to the sniper, he say,He aimin' at diapers today,Pick you off like pickin' peppers, Peter Piper today,So tell your squad I say ""BLAOW"" like Spice 1 would say,It's Mortal Kombat tonight, it's Street Fighter today,I'm Major Bison, Drizzy lit like Raiden light up the place,You see blue face hundreds 'til you white in the face,Oh my God, it feel like I done life in this place,But swear to God, I got money doin' life in my safe,Put on the gloves like MJ, go from OG to OJ,I make you pay attention then rip your receipt in your face,This for Cita and Nae,This for my people and bae,I got three sons of a gun, them niggas keep me on safe,Hol' up, I am the black god to the church,I am the fat boy to dessert,I am the landlord to the first,Got two bangers, one of them go ""bada boom"",One of them go ""bada bing"",I taught these hoes how to love, I taught these boys how to lean,I'm high in the sky and I twinkle,The eyes don't lie 'til you blink 'em,Keep the iron for the wrinkles,The mansion came with the sprinklers,I want Arabian wealth,You snakes come make me a belt,Yeah, you know life is a movie, you niggas playin' yourselves,[Outro: Lil Wayne],Damn, that's some six shit,Yeah, yeah, yeah, I want Arabian wealth,You snakes come make me a belt,It's every man for themselves, it's every baby for sale,And you know life is a movie, you niggas ratin' yourself,I just hope it's a porn to watch you pussies play with yourself,That's some six shit",Family Feud,Dedication 6: Reloaded,2018
Rae Sremmurd,"Up like Donald Trump, word?,Now you done fucked up,Up like Donald Trump,Chain swings like nunchucks,She gon' chew you up, twerk like she from Russia,Don't get me wile'd up, soldiers at a ten hut,Look what you done done, now you done fucked up,Up like Donald Trump,Chain swings like nunchucks,She gon' chew you up, twerk like she from Russia,Don't get me wile'd up, soldiers at a ten hut,Look what you done done, now you done fucked up,Read my lips, I do my own stunts,Bitch wanna go on a date, pull up to SunTrust,Wear my hat to the front, like I drive a truck,Like I drive a truck, all white Bentley truck,ATM go nuts, I do what I want,I say what I want, I grew up on Pac,Kush smell just like musk, turn it into dust,Man my style is tough, y'all huffed all that puff,Twerk like she from Russia, try hard not to love her,But she so damn bad, I might have to cuff her,Rock like Billy Ray, that's a nigga idol,Forbes list, Forbes list, Forbes list, Forbes, read it like the Bible,Up like Donald Trump,Chain swings like nunchucks,She gon' chew you up, twerk like she from Russia,Don't get me wile'd up, soldiers at a ten hut,Look what you done done, now you done fucked up,Up like Donald Trump,Chain swings like nunchucks,She gon' chew you up, twerk like she from Russia,Don't get me wile'd up, soldiers at a ten hut,Look what you done done, now you done fucked up,Up like Trump, all of the sudden,Solo cup when brought to the public,Balmain's clean as a whistle, green ain't the issue,Lil bit of money make a difference, nothin' is somethin',It's so hard to function with all of these hoes in the house,Fuck y'all assumption, my blood still rushin', my heart still thumpin',Up like Trump, kickin' like Ike, got a bitch twerkin' on Skype,MGM every night, Sremm at the door, king of the swipe,Motherfuckers worry 'bout likes on they pictures,They ain't got a single dollar, or a nickel,They ain't even got a penny, for the strippers,And they wanna pop bottles, like winners,Check my pedigree I always been a money fiend,All these fuckin' rings, I'm shinin', like a fuckin' king,Breakin' down the kush, don't it look so plush?,Take a couple puffs, I'm like Donald Trump!,Up like Donald Trump,Chain swings like nunchucks,She gon' chew you up, twerk like she from Russia,Don't get me wile'd up, soldiers at a ten hut,Look what you done done, now you done fucked up,Up like Donald Trump,Chain swings like nunchucks,She gon' chew you up, twerk like she from Russia,Don't get me wile'd up, soldiers at a ten hut,Look what you done done, now you done fucked up",Up Like Trump,SremmLife,2015
Rick Ross,"When 16 ain't enough...,It's funny because it's been on my mind lately,Having a dope beat, dope idea..,Sixteen bars ain't enough!,How the fuck can I squeeze my whole life into a 16 bar verse?,You know, so many different levels to living your life,Depicting with your wordplay exactly what life means to you,Sixteen ain't enough,I know y'all gonna feel me on this one,You gotta feel me on this one,It's funny how things change, funny how time fly,More than my feet travel, the more that I feel fly,More that I make now, the more that the chicks smile,She call me a local nigga, I opened a Swiss account,Eisenhower status, Etta James on the dash,Smooth as John Coltrane cruising in the Cadillac,Seville - feel my life on the real,We the Last Poets so this is a world premiere,Rolling like Mick Jagger, the women just getting badder,All I see is the money, cream, Eric Clapton,And all I wanted was one, 16 ain't enough,Talking that fast money, 15 every month,When your people labelled poor, that motivated me more,Everything I ever wore was once worn before,Roll with the punches now it's box office numbers,Dressed like Sammy Davis, steaming my marijuana,Double MG's, double M fees,We in every hood, nigga: government cheese,Yacht to Yachtmasters, Old Dirty Bastard,Floor seat for the Heat, paper that I'm stackin,Better put away a penny for the rainy days,Pick and roll, give and go, fuck a fade away,Living like Scottie Pippen, dribble riddles for vittles,Started off with a scribble, now I'm flowing a river,She say my heart cold, I'm naming my son December,Whitney died night before the Grammys -- damn, what a memory,Trump Tower and I started with a 10 speed,Born broke, had to use a nigga's instincts,Now I get a hundred racks for the 16,Waking up to turkey bacon and my thick queen,Niggas hating, I'm just watching on the big screen,3 stacks on the beat and the kicks mean,When 16 ain't enough...,You know how sometimes you got so much to say but,They on- they only give you 16, heh..,Man it's like.. I mean, I got so much to say,The world has said so much to me, and I just wanna give right back to 'em,But... I only get 16, that's like a cage, you know,I really can't say what I wanna say, you know it's just a glimpse,That's all, just one uh, one little single glimpse,Just a page,But I guess I'm defeating the purpose of doing all this talking,Summer '88, or was it '89,Or was it winter-time, ah, nevermind,I'm in my room, booming,Drawin' LL Cool J album covers with Crayolas on construction paper,I'm trying to fuck my neighbor, I'm tryna hook my waves up,I'm tryna pull my grades up, to get them saddle lace ups,Before lil' Marc was Jacob, before them girls wore makeup,Before my voice would break up, before we'd tour them shake clubs,Before my mama wake up, before my crumbs would cake up,Before they tell me they love me and we'll never break up,Before the time she makes love to someone that I thought was my homeboy,But boy, was I wrong, now,I don't budge, don't want much, just a roof and a porch,And a Porsche, and a horse and unfortunately,But of course an assortment of torches that scorches the skin, when they enter,Intruders, whose tutors did a lousy job,How's he God if he lets Lucifer let loose on us?,That noose on us won't loosen up, but loose enough to juice us up,Make us think we do so much and do it big,Like they don't let us win, I can't pretend,But I do admit, it feel good when the hood pseudo-celebrate,Hence, why every time we dine we eat until our belly aches,Then go grab the finest wine and drink it,Like we know which grape and which region it came from,As if we can name 'em, hint hint, it ain't, um, Welch's,Hell just fell three thousand more degrees cooler,Ya'll can't measure my worth,But when you try, you'll need a ruler made by all the Greek gods,Because the odds have always been stacked against me when back's against the wall,I feel right at home, y'all sitting right at home,All Kelly green with envy while I'm jelly beans descending,Into the palm of a child, looks up at mama and smile,With such a devilish grin, like ""where the hell have you been"",She yelling that selling's a sin, well so is telling young men,That selling is a sin, if you don't offer new ways to win,A dolphin gon shake his fin, regardless if he gets in,Or out of water, most important thing for him is to swim,And Flipper didn't hold his nose, so why shall I hold my tongue?,(I miss the days of old when one could hold his gal on his arm),And I set off these alarms, when camera's snap snap snap snap,Return fire, pa-pa-pa, pa, pa-pa, pa, pa, pa,They'll learn why, mere privacy, so essential,They won't make no laws, I break their laws til they see out our window,I take the fall to make them all treat human kind more gentle,Forsake them all, I hate them all, don't like em, don't pretend to,Yea something tells me we ain't in Kansas anymore,All that shit that used to be cool ain't cool anymore,All the women we were pursuing, now they want more,And they deserve it all, don't settle for what ain't yours,When 16 ain't enough...,When 16 ain't enough...,When 16 ain't enough...,When 16 ain't enough...,When 16 ain't enough...,Does your mama know you see me, does she know you're freaky?,Does she ever wonder if it's 'bout ya I am speaking?,Do you ever ponder where I'm at when you get sleepy?,How the hell I'm gonna tell the youth don't be me?,Yea,Does your daddy think you perfect, does he know for certain?,Does he know how you act when you pull back all them curtains?,Do he think I'm 2Pac cause I'm black and put the words in?,Does he know his daughter might have caught a real merman?,Yea",Sixteen,"God Forgives, I Don't",2012
Eminem,"[Intro],It's the calm before the storm right here,Wait, how was I gonna start this off?,I forgot... oh yeah,[Verse],That's an awfully hot coffee pot,Should I drop it on Donald Trump? Probably not,But that's all I got 'til I come up with a solid plot,Got a plan and now I gotta hatch it,Like a damn Apache with a tomahawk,I'ma walk inside a mosque on Ramadan,And say a prayer that every time Melania talks,She gets her mou— ahh, I'ma stop,But we better give Obama props,'Cause what we got in office now's a kamikaze,That'll probably cause a nuclear holocaust,And while the drama pops,And he waits for shit to quiet down he'll just gas his plane up,And fly around 'til the bombing stops,Intensities heightened, tensions are risin',Trump, when it comes to givin' a shit, you're stingy as I am,Except when it comes to havin' the balls to go against me, you hide 'em,'Cause you don't got the fuckin' nuts like an empty asylum,Racism's the only thing he's fantastic for,'Cause that's how he gets his fuckin' rocks off and he's orange,Yeah, sick tan,That's why he wants us to disband,'Cause he can not withstand,The fact we're not afraid of Trump,Fuck walkin' on egg shells, I came to stomp,That's why he keeps screamin', ""Drain the swamp!"",'Cause he's in quicksand,It's like we take a step forwards then backwards,But this is his form of distraction,Plus, he gets an enormous reaction,When he attacks the NFL so we focus on that in-,-stead of talkin' Puerto Rico or gun reform for Nevada,All these horrible tragedies and he's bored and would rather,Cause a Twitter storm with the Packers,Then says he wants to lower our taxes,Then who's gonna pay for his extravagant trips,Back and forth with his fam to his golf resorts and his mansions?,Same shit that he tormented Hillary for and he slandered,Then does it more,From his endorsement of Bannon,Support for the Klansmen,Tiki torches in hand for the soldier that's black,And comes home from Iraq,And is still told to go back to Africa,Fork and a dagger in this racist 94-year-old grandpa,Who keeps ignorin' our past historical, deplorable factors,Now if you're a black athlete, you're a spoiled little brat for,Tryna use your platform or your stature,To try to give those a voice who don't have one,He says, ""You're spittin' in the face of vets who fought for us, you bastards!"",Unless you're a POW who's tortured and battered,'Cause to him you're zeros,'Cause he don't like his war heroes captured,That's not disrespectin' the military,Fuck that, this is for Colin, ball up a fist!,And keep that shit balled like Donald the bitch!,""He's gonna get rid of all immigrants!"",""He's gonna build that thing up taller than this!"",Well, if he does build it, I hope it's rock solid with bricks,'Cause like him in politics, I'm usin' all of his tricks,'Cause I'm throwin' that piece of shit against the wall 'til it sticks,And any fan of mine who's a supporter of his,I'm drawing in the sand a line, you're either for or against,And if you can't decide who you like more and you're split,On who you should stand beside, I'll do it for you with this:,Fuck you!,The rest of America, stand up!,We love our military, and we love our country,But we fucking hate Trump!",The Storm (2017 BET Hip-Hop Awards Cypher Verse),BET Hip-Hop Awards 2017,2017
