artist,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate,Trump,Obama
Mac Miller,Thoughts From A Balcony,Macadelic,2012,Obama,47.8,"33,072",27.2,31.9,my khakis filled cheese homie sap beatlike donald trump fucking hit i call lovethey throw im walking,
Rick Ross,Sixteen,"God Forgives, I Don't",2012,Obama,47.8,"33,072",27.2,31.9,on decemberwhitney died night grammys  damn memorytrump tower i started 10 speedborn broke use nigga,
Charli XCX,Cloud Aura,Super Ultra,2012,Obama,47.8,"33,072",27.2,31.9,pi queen b jay zthe one held i fcking crazyivonne trump shit coulda ran worldyou chris grant i homie,
Rich Homie Quan,Hurt No More,Still Goin' In,2012,Obama,47.8,"33,072",27.2,31.9,okerfacefuck that break your shoulder bladeswhole trumph dont throw ya spaidesleft my xbox in the wa,
Nas,Loco-Motive,Life Is Good,2012,Obama,47.8,"33,072",27.2,31.9,i started broke got rich lost paper made backlike trump up play cashmy niggas like locomotivenas pus,
Rick Ross,Pirates,"God Forgives, I Don't",2012,Obama,47.8,"33,072",27.2,31.9, forgives i dontresurrection real time get richer trumpim rolling dice four five sixyoung nigga 19 f,
Kreayshawn,Gucci Gucci,Somethin' Bout Kreay,2012,Obama,47.8,"33,072",27.2,31.9,pradaim lookin like madonna im flossing like ivanatrump know i keep work trunkgot hand pump wanna pr,
Lil Wayne,Green Ranger,Dedication 4,2012,Obama,47.8,"33,072",27.2,31.9,,anuh actually momma shitbut im driving round town obama shitmiddle class ass get tank gashad run gun
Killer Mike,Reagan,R.A.P. Music,2012,Obama,47.8,"33,072",27.2,31.9,,yee countrys real mastersjust like bushes clinton obamajust another talking head telling lies telepr
Chamillionaire,Never Enough,Ammunition (Digital),2012,Obama,47.8,"33,072",27.2,31.9,,ecome baller i never slept mamayoull never become obama never get commasyoull never get anything lif
Sean Price,Hush,Mic Tyson,2012,Obama,47.8,"33,072",27.2,31.9,,burgers checkersp lights out knife might slash youobama turned white house white castl
Lil B,Thug Life,Based Jam,2012,Obama,47.8,"33,072",27.2,31.9,, mac im thug strap man bitches dick cuz look like obama muthafuckin choppa ima show bout this dope w
Trae tha Truth,Fucked Up World,Tha Blackprint,2012,Obama,47.8,"33,072",27.2,31.9,,rama tryna get dollarsi wrote letter president mr obamai aint seen much change feel like shit gettin
Deuce,Help Me,Nine Lives,2012,Obama,47.8,"33,072",27.2,31.9,herfucker i aint got love fake ass wannabe donald trumpdeuce suck fucking contract you i say i aint ,shityou tell randy jackson kiss black assim white obama bitchyou could judge i flip middle finger li
Maino,That Could Be Us,The Day After Tomorrow,2012,Obama,47.8,"33,072",27.2,31.9,,presidential dine presidential nightsyou michelle obama presidents wifei made old girl jealouson red
50 Cent,I Ain't Gonna Lie,The Lost Tape,2012,Obama,47.8,"33,072",27.2,31.9,,ugs rocknroll charlie sheen btchsee suited booted obama shtmoney aint telling much ima geti spit bar
Roscoe Dash,Sativa,2.0,2012,Obama,47.8,"33,072",27.2,31.9,,m strange things life ya cant changei know i know obama said im positive madefor other cause otherma
Deuce,Freaky Now,Nine Lives,2012,Obama,47.8,"33,072",27.2,31.9,,eat like rihannai love ass mouth  black cock like obamawhat we showed turn lightsso give fuckin twil
Sean Price,Bully Rap,Mic Tyson,2012,Obama,47.8,"33,072",27.2,31.9,,y organwhoo i sell dope mommaand i aint even vote obama  pyo p uhh i get paid tomake music burst wal
Marsimoto,Indianer,Grüner Samt,2012,Obama,47.8,"33,072",27.2,31.9,,habenjetzt gibts ne überdosis schlangengiftbarack obama gib den indianern ihr land zurückgib den ind
Meek Mill,On My Way,Dreamchasers 2,2012,Obama,47.8,"33,072",27.2,31.9,,t nobody tell bethey told i couldntbut i bet told obama president eitheron wayon wayworld tour 10000
Lil B,Obama BasedGod,Obama BasedGod,2012,Obama,47.8,"33,072",27.2,31.9,,w man boy lil bim im rawest rapper aliveyeah 2013 obama based godvote mei gotta slow i gotta dumb do
T.I.,Fuck Da City Up,Fuck Da City Up,2012,Obama,47.8,"33,072",27.2,31.9,,a boy i promisegot o presidential bitch im blowin obamayeah im talkin plenty choppers scopes aryou k
Rick Ross,Birthday,The Black Bar Mitzvah,2012,Obama,47.8,"33,072",27.2,31.9,,ake kingpinblack bar mitzfah niggas aint seen shitobama fundraiser all dope boysblow ya candle forth
Gucci Mane,Trap Back,Gucci Classics 2,2012,Obama,47.8,"33,072",27.2,31.9,,ummergot foreign choppas osama smoke presidential obamagot bald head got skinhead white girl sinead 
Sol,2020,Yours Truly,2012,Obama,47.8,"33,072",27.2,31.9,,eel focus homieso im taking shortlymoney mind kingobama dollar sign president greenrun residence rip
Tyga,Let It Show,Careless World: Rise Of The Last King,2012,Obama,47.8,"33,072",27.2,31.9,,ope aint sharks waterthen holla mama man love see obamado thing look far niggas done camethey us cha
Childish Gambino,Black Faces,Royalty,2012,Obama,47.8,"33,072",27.2,31.9,, facesyeah black facesmy rollie racist black facesobama million dollar bill black facesyeah ngga bla
