artist,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate,Trump,Obama,TrumpSentiment,ObamaSentiment
Mac Miller,Thoughts From A Balcony,Macadelic,2012,Obama,47.8,"33,072",27.2,31.9,my khakis filled cheese homie sap beatlike donald trump fucking hit i call lovethey throw im walking,,Positive,Not Mentioned
Rick Ross,Sixteen,"God Forgives, I Don't",2012,Obama,47.8,"33,072",27.2,31.9,on decemberwhitney died night grammys  damn memorytrump tower i started 10 speedborn broke use nigga,,Negative,Not Mentioned
Charli XCX,Cloud Aura,Super Ultra,2012,Obama,47.8,"33,072",27.2,31.9,pi queen b jay zthe one held i fcking crazyivonne trump shit coulda ran worldyou chris grant i homie,,Negative,Not Mentioned
Rich Homie Quan,Hurt No More,Still Goin' In,2012,Obama,47.8,"33,072",27.2,31.9,okerfacefuck that break your shoulder bladeswhole trumph dont throw ya spaidesleft my xbox in the wa,,Negative,Not Mentioned
Nas,Loco-Motive,Life Is Good,2012,Obama,47.8,"33,072",27.2,31.9,i started broke got rich lost paper made backlike trump up play cashmy niggas like locomotivenas pus,,Negative,Not Mentioned
Rick Ross,Pirates,"God Forgives, I Don't",2012,Obama,47.8,"33,072",27.2,31.9, forgives i dontresurrection real time get richer trumpim rolling dice four five sixyoung nigga 19 f,,Positive,Not Mentioned
Kreayshawn,Gucci Gucci,Somethin' Bout Kreay,2012,Obama,47.8,"33,072",27.2,31.9,pradaim lookin like madonna im flossing like ivanatrump know i keep work trunkgot hand pump wanna pr,,Positive,Not Mentioned
Lil Wayne,Green Ranger,Dedication 4,2012,Obama,47.8,"33,072",27.2,31.9,,anuh actually momma shitbut im driving round town obama shitmiddle class ass get tank gashad run gun,Not Mentioned,Negative
Killer Mike,Reagan,R.A.P. Music,2012,Obama,47.8,"33,072",27.2,31.9,,yee countrys real mastersjust like bushes clinton obamajust another talking head telling lies telepr,Not Mentioned,Negative
Chamillionaire,Never Enough,Ammunition (Digital),2012,Obama,47.8,"33,072",27.2,31.9,,ecome baller i never slept mamayoull never become obama never get commasyoull never get anything lif,Not Mentioned,Negative
