It's Everyday Bro,Jake Paul,Set List,2018
XXX.,Kendrick Lamar,DAMN.,2017
Apparently,J. Cole,2014 Forest Hills Drive,2014
***Flawless (Remix),Beyoncé,BEYONCÉ (Platinum Edition),2014
No Favors,Big Sean,I Decided.,2017
Black Friday,Kendrick Lamar,Black Friday,2015
Best Friend,Yelawolf,Love Story,2015
Blessings,Chance the Rapper,Coloring Book,2016
So Appalled,Kanye West,My Beautiful Dark Twisted Fantasy,2010
Work It,Missy Elliott,Under Construction,2002
Gucci Gucci,Kreayshawn,Somethin' Bout Kreay,2012
No Diggity,Blackstreet,Another Level,1996
La Vie En Rose,Louis Armstrong,Jazz & Blues: 36 Outstanding Tracks,2001
Earl,Earl Sweatshirt,Earl,2010
Kings Never Die,Eminem,Southpaw (Music From And Inspired by the Motion Picture),2015
El Chapo,The Game,The Documentary 2.5,2015
I Wanna Be With You,DJ Khaled,Suffering from Success,2013
Audi.,Smokepurpp,Deadstar,2017
Infrared,Pusha-T,DAYTONA,2018
FRIENDS,J. Cole,KOD,2018
Come Through and Chill,Miguel,War & Leisure,2017
Wat's Wrong,Isaiah Rashad,The Sun's Tirade,2016
Framed,Eminem,Revival,2017
Donald Trump,Mac Miller,Best Day Ever,2011
Note to Self,J. Cole,2014 Forest Hills Drive,2014
1942 Flows,Meek Mill,Wins & Losses,2017
Diablo,Mac Miller,Faces,2014
Saturne,Nekfeu,Cyborg,2016
Red Dot Music,Mac Miller,Watching Movies With the Sound Off,2013
LAND OF THE FREE,Joey Bada$$,ALL-AMERIKKKAN BADA$$,2017
One Minute,XXXTENTACION,SKINS,2018
The Storm (2017 BET Hip-Hop Awards Cypher Verse),Eminem,BET Hip-Hop Awards 2017,none
Sixteen,Rick Ross,"God Forgives, I Don't",2012
Up Like Trump,Rae Sremmurd,SremmLife,2015
"96,000",Lin-Manuel Miranda,In The Heights (Original Broadway Cast Recording),2008
Family Feud,Lil Wayne,Dedication 6: Reloaded,2018
Constantly Hating,Young Thug,Barter 6,2015
LLC,Nicki Minaj,Queen (Bonus Version),2018
