artist,lyrics,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate
Mac Miller,"[Verse 1: Mac Miller],Uh, lemme get a one-way ticket, haven't picked a destination,I'm just tryna catch the train before it has to leave the station,Packin' no bags, nothin' but the clothes on my back,With a Cognac, let me sip it, tryna to relax,Red wine up in my glass plus Filet Mignon,I got army right up under me, I'm Genghis Khan,Yeah, it's me against the world, I guess I'll take them on,I might stop and see my girl, but I ain't stayin' long,What if I'm gone, what the fuck you gon' think then?,I told my story, put my life inside this ink pen,Said I'll make it big when, everybody know me,Well, I made it big and, everybody phony,Haha, so could you pour me, I need a cup,No, none of that liquor, mixin' purple stuff,I could talk my pain, but would it hurt too much,Go head, judge me, hate cost money, but this love free,[Hook],They just dreams, turn 'em to reality,Double-cup of lean, standin' on my balcony,Looking at the sky, thinkin' it could all be mine,All we got is memories, so what the fuck is time?,They just dreams, turn 'em to reality,Double-cup of lean, standin' on my balcony,Looking at the street, thinkin' it could all be mine,All we got is memories, so what the fuck is time?,So what the fuck is time?,Ask 'em, what the fuck is time? (x2),[Verse 2: Mac Miller],What do you do when you think you could be an icon?,Because all these people get to screamin' with the lights on,Like they just seen a ghost, earn my stripes, zebra coat,Racin' to the gate but my flight gone,Now these writers taking shots without a Nikon,But I don't fight though, figure it's a typo,Seems we in some shit now, gonna be alright though,Potion in my sprite, then my night slows, down, down,See, that's exactly what I need,My khaki's filled with cheese, my homie Sap is on the beat,Like it was ""Donald Trump"", a fucking hit but I call it love,They throw it on when I'm walking in the club,Hey, this the Burgh shit, I don't deserve this,Well, I don't think you lookin' for me on the surface,Learn quick, now I'm big time,Fill your cup up, and I'mma sip mine,[Hook],They just dreams, turn 'em to reality,Double-cup of lean, standin' on my balcony,Looking at the sky, thinkin' it could all be mine,All we got is memories, so what the fuck is time?,They just dreams, turn 'em to reality,Double-cup of lean, standin' on my balcony,Looking at the street, thinkin' it could all be mine,All we got is memories, so what the fuck is time?,So what the fuck is time?,Ask 'em, what the fuck is time? (x2)",Thoughts From A Balcony,Macadelic,2012,Obama,47.8,"33,072",27.2,31.9
Rick Ross,"When 16 ain't enough...,It's funny because it's been on my mind lately,Having a dope beat, dope idea..,Sixteen bars ain't enough!,How the fuck can I squeeze my whole life into a 16 bar verse?,You know, so many different levels to living your life,Depicting with your wordplay exactly what life means to you,Sixteen ain't enough,I know y'all gonna feel me on this one,You gotta feel me on this one,It's funny how things change, funny how time fly,More than my feet travel, the more that I feel fly,More that I make now, the more that the chicks smile,She call me a local nigga, I opened a Swiss account,Eisenhower status, Etta James on the dash,Smooth as John Coltrane cruising in the Cadillac,Seville - feel my life on the real,We the Last Poets so this is a world premiere,Rolling like Mick Jagger, the women just getting badder,All I see is the money, cream, Eric Clapton,And all I wanted was one, 16 ain't enough,Talking that fast money, 15 every month,When your people labelled poor, that motivated me more,Everything I ever wore was once worn before,Roll with the punches now it's box office numbers,Dressed like Sammy Davis, steaming my marijuana,Double MG's, double M fees,We in every hood, nigga: government cheese,Yacht to Yachtmasters, Old Dirty Bastard,Floor seat for the Heat, paper that I'm stackin,Better put away a penny for the rainy days,Pick and roll, give and go, fuck a fade away,Living like Scottie Pippen, dribble riddles for vittles,Started off with a scribble, now I'm flowing a river,She say my heart cold, I'm naming my son December,Whitney died night before the Grammys -- damn, what a memory,Trump Tower and I started with a 10 speed,Born broke, had to use a nigga's instincts,Now I get a hundred racks for the 16,Waking up to turkey bacon and my thick queen,Niggas hating, I'm just watching on the big screen,3 stacks on the beat and the kicks mean,When 16 ain't enough...,You know how sometimes you got so much to say but,They on- they only give you 16, heh..,Man it's like.. I mean, I got so much to say,The world has said so much to me, and I just wanna give right back to 'em,But... I only get 16, that's like a cage, you know,I really can't say what I wanna say, you know it's just a glimpse,That's all, just one uh, one little single glimpse,Just a page,But I guess I'm defeating the purpose of doing all this talking,Summer '88, or was it '89,Or was it winter-time, ah, nevermind,I'm in my room, booming,Drawin' LL Cool J album covers with Crayolas on construction paper,I'm trying to fuck my neighbor, I'm tryna hook my waves up,I'm tryna pull my grades up, to get them saddle lace ups,Before lil' Marc was Jacob, before them girls wore makeup,Before my voice would break up, before we'd tour them shake clubs,Before my mama wake up, before my crumbs would cake up,Before they tell me they love me and we'll never break up,Before the time she makes love to someone that I thought was my homeboy,But boy, was I wrong, now,I don't budge, don't want much, just a roof and a porch,And a Porsche, and a horse and unfortunately,But of course an assortment of torches that scorches the skin, when they enter,Intruders, whose tutors did a lousy job,How's he God if he lets Lucifer let loose on us?,That noose on us won't loosen up, but loose enough to juice us up,Make us think we do so much and do it big,Like they don't let us win, I can't pretend,But I do admit, it feel good when the hood pseudo-celebrate,Hence, why every time we dine we eat until our belly aches,Then go grab the finest wine and drink it,Like we know which grape and which region it came from,As if we can name 'em, hint hint, it ain't, um, Welch's,Hell just fell three thousand more degrees cooler,Ya'll can't measure my worth,But when you try, you'll need a ruler made by all the Greek gods,Because the odds have always been stacked against me when back's against the wall,I feel right at home, y'all sitting right at home,All Kelly green with envy while I'm jelly beans descending,Into the palm of a child, looks up at mama and smile,With such a devilish grin, like ""where the hell have you been"",She yelling that selling's a sin, well so is telling young men,That selling is a sin, if you don't offer new ways to win,A dolphin gon shake his fin, regardless if he gets in,Or out of water, most important thing for him is to swim,And Flipper didn't hold his nose, so why shall I hold my tongue?,(I miss the days of old when one could hold his gal on his arm),And I set off these alarms, when camera's snap snap snap snap,Return fire, pa-pa-pa, pa, pa-pa, pa, pa, pa,They'll learn why, mere privacy, so essential,They won't make no laws, I break their laws til they see out our window,I take the fall to make them all treat human kind more gentle,Forsake them all, I hate them all, don't like em, don't pretend to,Yea something tells me we ain't in Kansas anymore,All that shit that used to be cool ain't cool anymore,All the women we were pursuing, now they want more,And they deserve it all, don't settle for what ain't yours,When 16 ain't enough...,When 16 ain't enough...,When 16 ain't enough...,When 16 ain't enough...,When 16 ain't enough...,Does your mama know you see me, does she know you're freaky?,Does she ever wonder if it's 'bout ya I am speaking?,Do you ever ponder where I'm at when you get sleepy?,How the hell I'm gonna tell the youth don't be me?,Yea,Does your daddy think you perfect, does he know for certain?,Does he know how you act when you pull back all them curtains?,Do he think I'm 2Pac cause I'm black and put the words in?,Does he know his daughter might have caught a real merman?,Yea",Sixteen,"God Forgives, I Don't",2012,Obama,47.8,"33,072",27.2,31.9
Charli XCX,"Baby what hurts the most is when you become so cold,You're starting to hurt my heart, you left me here in the dark,Now I got to think a change, I don't want to see your face,I'm starting to hurt so hard, huh, you,Brook Candy,We were on some Bonnie & Clyde shit,Kept the once row, always let you take the first shit,When the feds caught us I said I would take the rep,Cause I knew it ain't easy livin' live in the trap,I was the Queen B, you were my Jay Z,The only one who held me down when I was f*cking crazy,Ivonne and Trump, shit we coulda' ran the world,You were my Chris Grant, I was your homie girl,Let you put your feet up while I was cooking you breakfast,Thought I found my rider, yeah but now we just regret shit,Log into your email cause I knew that shit was wrong,Climbing up a private Whoto of a bitch showing her thong,And I look a lil closer it's my home girl Lisa,Time to terminate shit, hasta la vista,Married to the mob so I put a hit on it,Candy you're my right, then you took a shit on it,Baby what hurts the most is when you become so cold,You're starting to hurt my heart, you left me here in the dark,Now I got to think a change, I don't want to see your face,I'm starting to hurt so hard, huh, you,Oh oh,Now I'm a f*cking shita',Apply it to your pick-up,And drive a super sonic, crush and burn it with my sister,No I don't need a mister, a sorta baby sitter,I'm never going down, it's easy to resist you,You broke my heat,And I'm never gon' forget this,You broke my heat,And I am coming back to get you, don't you know,Baby what hurts the most is when you become so cold,You're starting to hurt my heart, you left me here in the dark,Now I got to think a change, I don't want to see your face,I'm starting to hurt so hard, huh, you,Oh oh,Baby what hurts the most is when you become so cold,You're starting to hurt my heart, you left me here in the dark,Now I got to think a change, I don't want to see your face,I'm starting to hurt so hard, huh, you,Oh oh",Cloud Aura,Super Ultra,2012,Obama,47.8,"33,072",27.2,31.9
Jennifer Hudson,"You gotta act like a woman,And think like a a man,Why you call me your dream bed,And foolish of me I believe that,You said every king needs his queen babe,That's why you needed me baby,Right in between lost and love,You go and mess things up,Now there's no we babe,There's just you and there's me baby,There was us, there was trust,There was happen and change, I know,Silly you, silly me, silly us, what I've wait,But in love, love, love,You gotta act like a woman and think like a man,But in love, love, love,You gotta act like a woman and think like a man,Now I'm gonna keep it realer with you now that I ever been,Wish we would never been, girl we was better friends,You didn't had to tell me, what went right and when,Um why I didn't need it,Cause you wasn't my girlfriend, we had a good thing,You were a combining hitting, ooh give me that good thang,Then after we were finished,You go your way, I go my way, it was whatever,Tell me what ever happens,Think this wanna gonna be better,And now I'm telling you lies,All because I hate to see the tears in your eyes,Of course I want my cake, and needed too, I'm a guy,And of course, you don't understand,But you would if you thought like a man in love,But in love, love, love,You gotta act like a woman and think like a man,But in love, love, love,You gotta act like a woman and think like a man,Time cost money and it's so expensive,Versace, lenny got these women blowing kisses,Leaning on my auto, she's so photogenic,Can I take a picture, she's my mona lisa,Living like a princess in a fairy tale,You know them people up in barney show and tell,Bentley black and not a ninja see no poney tail,5 karat yellow diamond you don't know me well,Penthouse, set the drunks, it don't call and sell,She called the night at twom I had to call the cab,You don't understand it's altitude I'm balling at,I'm at the game on the wood where the owner at,Soldiers from 'bout the same,Boy you tell me everything,Yeah you show me how you think,You're the only one to blame,It's such a shame,Yeah should lost the game you tell me how to play,In love, love, love,You gotta act like a woman, and think like a man,But in love, love, love,You gotta act like a woman and think like a man,Act like a woman, act like a woman,Gotta act like a woman",Think Like a Man,Think Like a Man (Music from and Inspired by the Film),2012,Obama,47.8,"33,072",27.2,31.9
Rich Homie Quan,"Aye I Made An Oath To My Homies Man,I Told Em they Ain't Gotta Hurt No More,And I Told Em That's My Word Man,Rich Homie Baby, Yeah!,They Tell Me Make A Wish,And I Say Whole Thang,Give Them Folks My Alias,And Not My Whole Name,My Cousin On My Daddy Side Sell Cocaine,Take Off On That Purple, Call it Soul Plane,I Get My Blow From Bone And Ricky Cause They Dope The Same,If You Get Locked Up Unpredicted Then That Hoe To Blame,Should Of Never Let That Bitch Knew You Was On the Way,You Can Blow From Out That Sack If You Keep Your Pokerface,Fuck That, Break Your Shoulder Blades,Whole Trumph Dont Throw Ya Spaides,Left My Xbox In The Water So I Can Soak The Game,I Heard Yo Lawyer Blowed The Case You Need Yo Own Help,Nigga You Cant Do Shit For Me,Bitch I Pay My Own Self,Home Employed,My Rich Homies Ain't Gotta Work No More,They Saying,I Cant Put Rich Homies On My Shirt No More,I Got Em paying Fa My Attention Ain't Gone Hurt Before,Every Chance I'm With Em I Tell My Niggas That,We Ain't Gone Hurt No more Yeah,I Tell Em We Ain't Gone Hurt No more Yeah,We Ain't Gone Hurt No More,I Tell Em We Ain't Gone Hurt No more Yeah,If You Was Thinking I Was Gone, I'm Back Baby,Hate Picking Up The Phone, Send A Fax Baby,I'm Riding In A Ghost Call It Pat Swazy,Yo Mama Did Dope While She Was Pregnant Nigga You's A Crack Baby,No Keyboard But I'm Backspacing,No Precious I Love Fat Faces,If It Don't Make Money Then It Don't Make Sense,Rich Homies They Stank Cause They On They Shit,And Ion Get Hit Nigga I Ain't Vick Nigga,See Imma Rich Nigga But I'll Spray Spray Spray,I Got Me Six Figures,My Clique Bigger Than The KKK Its A Whole Lotta Us,You Ain't Shit Nigga We Ain't With Nigga,You Say You Killed Nigga But You Ain't Killed Niggas,I'm A Real nigga,Lemme Tell You How It Is Nigga,These Niggas Try To Come In Your Face Just To See Whats Going On,And it Be The Same Ones That Take Off When Everything Start Going Wrong,They Say That Lame Bitch Straight And She Ain't Hurt Fa Nothing,That Same Nigga Hating,Got Em Working Fa Me,Home Employed,My Rich Homies Ain't Gotta Work No More,They Saying,I Cant Put Rich Homies On My Shirt No More,I Got Em Paying Fa My Attention Ain't Gone Hurt Before,Every Chance Im With Em I Tell My Niggas That,We Ain't Gone Hurt No more Yeah,I Tell Em We Ain't Gone Hurt No more Yeah,We Ain't Gone Hurt No More,I Tell Em We Ain't Gone Hurt No more Yeah,We Ain't Gone Hurt No more Yeah,We Ain't Gone Hurt No more,I Tell Em We Ain't Gone Hurt No More",Hurt No More,Still Goin' In,2012,Obama,47.8,"33,072",27.2,31.9
Nas,"42nd street terminal,Yo, yo, I live it and I speak it,My religion is reefer,Big money and the most,Uninhibited freak to sleep with,My visions are realistic,Nothing is figurative,I can wish it into existence,God want this nigga to live,Blunt big as a dread,I get high and forget who bled,Who we stomp-kicked in the head and who we left for dead,Who are you niggas,Why argue niggas,The truth is the truth,I really put my scars on niggas,They wear them lifetime, they tell they hoes, Nas did this,Pointing to they scars like,Right here, baby, really Nas did this,Like a badge of honor, not bragging I'm just honest,War stories we tell them, nothing's realer than karma,Sip prohibition liquor, prohibition whiskey,Rap Jack Dempsey, matte black Bentley, pimply,Shatterin' your silence, passing round the chalice,Due to my Indian ancestry at the weed dispensery,Official kings and gents is who I mix and mingle with,Fuck your ice,I rock rubies, amethyst,I'll fuck your wife cause she a groupie, scandalous,This for my bad hood bitches, ghetto glamorous,Yo, what we talking bout niggas,What we talking bout niggas,This is Nas, what, Nas,What, Nasty, what recollect fucker,At seventeen I made seventeen thousand living in public housing,Integrity intact, repping hard,They asking how he disappear and reappear back on top,Saying Nas must have naked pictures of God or something,To keep winning is my way like Francis,As long as I'm breathing, I'll take chances,A soldier comin' home, twenty years old with no legs,Sayin' there's no sense to cry and complain, just go head,So much to write and say, yo I don't know where to start,So I'll begin with the basics and flow from the heart,I know you think my life is good cause my diamond piece,But my life been good since I started finding peace,I shouldn't even be smiling, I should be angry and depressed,I been rich longer than I been broke, I confess,I started out broke, got rich, lost paper then made it back,Like Trump being up down up, play with cash,My nigga's like a locomotive,Nas, we push it, mush 'em,Queensbridge to Bushwick,Harlem,Bronx,All that,You ain't even supposed to be here,You know where you at,At night, New York, eat a slice too hot,Use my tongue to tear the skin hanging from the roof of my mouth,Shit was felicissimo melting pot, city sweltering hot,Staggering, drunker than those cops that 2Pac shot,I was a crook by the train with that iron thing, concealed,Reaching, soon as I heard them iron wheels screeching,When it came to a halt whoever walked off got caught,Token man safe behind a locked door for sure,Minor thief shit, minor league shit, beasting,Looking for the juks young, but now we older chiefing,In my truck, play The Greatest Adventures of Slick Rick,Bugging on how his imagination was so sick,It's ghetto beef, sinister niggas snicker through yellow teeth,Alcohol aging my niggas faster than felonies,How dare I,Must be, something in the air that corrupts me,Look at my upkeep, owned and sublease,I'm here y'all,This for my trapped in the 90's niggas,For my trapped in the 90's niggas,Ha for y'all niggas",Loco-Motive,Life Is Good,2012,Obama,47.8,"33,072",27.2,31.9
Rick Ross,"I guess there ain't no nice way to tell you,Niggas it's game over, huh?,Pray for me,Hallucination of money, while nigga's stomach just rumble,Had to fuck with the Haitians and break a kilo to crumbles,Nigga living in rubble, but get him labelled a rebel,Any nigga wan' rumble, somebody hand me a shovel,Gotta silence the lambs, get on my Buffalo Bill,Steppin' off the Sonoma with the black duffel bag filled,Got a cute bitch with me; favor come on, for real,Got Meek Mill on the celly, that nigga worth a few mil,I multiply what I manage, I manage to multiply,Witness real niggas fail, and watch you fuck niggas strive,Witness bitch niggas pale, Japar [?] just got twenty-five,At this point in my life, I'm just trying to survive,Homicide stay on my mind, Christopher Wallace of my time,R.I.P. to the legend, 2Pac Shakur with a nine,Makaveli returns - it's God forgives, and I don't,Resurrection of the real, time to get the richer than Trump,I'm rolling the dice, four, five, six,Young nigga, 19, four, five bricks,Praying on you niggas, sinners full of hate,God forgives and I don't, only hustlers relate,Trying to keep my head above water, nigga,We pirates out here, nigga, just trying to stay afloat,And I ride for my niggas,Fascination with fortune afford me mansion and Porsches,Panoramas, abortions, marijuana imported,Dreams of getting cream and never to be extorted,Seen so many things, be preposterous not to record it,Product is in demand, profit not far behind,Got on my mother pearl, she fucking up father time,Babies be having babies, I'm talking 'bout how I grind,Niggas thinking it's voodoo the way bricks be multiplying,Affiliated with wealth, associated with death,Self-made millionaire, snatch a triple beam off the shelf,Straight Grim Reaper, Air Jordans walking the streets,Blackberry boss - one call, ya put to sleep,I'm rolling the dice, four, five, six,Young nigga, nineteen, forty five bricks,Praying on you niggas, sinners full of hate,God forgives and I don't, only hustlers relate,The Lord is my light and my salvation,But I see none of you fuck niggas,Fuck what you heard, nigga,I need to feel it,I need to smell it,I need to see it",Pirates,"God Forgives, I Don't",2012,Obama,47.8,"33,072",27.2,31.9
Kreayshawn,"One big room full of bad bitches,One big room full of bad bitches,One big room full of bad bitches,One big room full of bad bitches,And we stunting like,Gucci Gucci, Louis Louis, Fendi Fendi, Prada,Basic bitches wear that shit so I don't even bother,Gucci Gucci, Louis Louis, Fendi Fendi, Prada,Basic bitches wear that shit so I don't even bother,Gucci Gucci, Louis Louis, Fendi Fendi, Prada,The basic bitches wear that shit, so I don't even bother,I put that on my partner, I put that on my family,Oakland city represent, address me as your majesty,Yeah you can kiss the ring, but you can never touch the crown,I smoke a million Swisher blunts and I ain't never coming down,Bitch you ain't no Barbie I see you work at Arby's,Number 2, super-sized, hurry up I'm starving,Gnarly, radical, on the block I'm magical,See me at your college campus baggie full of Adderalls,Call me if you need a fix, call me if you need a boost,See them other chicken heads? They don't never leave the coop,I'm in the coupe cruising, I got the stolen plates,Serving all the fiends over there by the Golden Gate,Bridge, I'm colder than the fridge and the freezer,I'm snatching all your bitches at my leisure,One big room full of bad bitches,One big room full of bad bitches,One big room full of bad bitches,One big room full of bad bitches,And we stunting like,Gucci Gucci, Louis Louis, Fendi Fendi, Prada,Basic bitches wear that shit so I don't even bother,Gucci Gucci, Louis Louis, Fendi Fendi, Prada,Basic bitches wear that shit so I don't even bother,Gucci Gucci, Louis Louis, Fendi Fendi, Prada,I'm lookin like Madonna but I'm flossing like Ivana,Trump, you know I keep that work in my trunk,Got my hand on the pump if you wanna press your luck,I'm yelling ""Free V-Nasty"" 'til my throat is raspy,Young, rich and flashy I be where the cash be,You can't find that? I think you need a Google Map,My pearl-handled kitty-cat will leave and press your noodle back,I'm rolling up my catnip and shitting in your litter,Why you looking bitter? I be looking better,The type of bitch that make you wish that you ain't never met her,The editor, director plus I'm my own boss,So posh, nails fierce with the gold gloss,Which means nobody getting over me,I got the swag and it's pumping out my ovaries,One big room full of bad bitches,One big room full of bad bitches,One big room full of bad bitches,One big room full of bad bitches,And we stunting like,Gucci Gucci, Louis Louis, Fendi Fendi, Prada,Basic bitches wear that shit so I don't even bother,Gucci Gucci, Louis Louis, Fendi Fendi, Prada,Basic bitches wear that shit so I don't even bother,Oh, all you basic ass hoes out there,Man I got rooms full of bad bitches,They don't need Gucci, they don't need Louis,We swagging, ehh, meow",Gucci Gucci,Somethin' Bout Kreay,2012,Obama,47.8,"33,072",27.2,31.9
Lil Wayne,"When this shit dropped, I was like 16,Tryna get some head from a mixed thing, big dreams,Say goodbye to ripped jeans, nigga got a job,Had my little wad, worst fear is getting robbed,For my last 50 dollars that I had left over,5 dollars in they pocket, nigga in his left shoulder,Minimum wage $5.15, 13′s on the whip, kept my shit clean,Uh, actually that was my momma shit,But I'm driving 'round town on my Obama shit,Middle class my ass, just to get a tank of gas,Had to run the guns up the street and pawn the shit,But yeah I'm headed for a scholarship,Little scrap game, but I got a lot of lip,That's why them niggas don't like me and always wanna fight me,A dumb nigga hate a smart mouth most-likely,Uh, I know the game, I'm an expert,Nigga how you gonna jump me if my legs work?,Nigga I'm gone, showed up at the crib tryna bone,And I ain't fuck yet cause her momma always home,God damn, Lor-Lord Have Mercy,Please God don't let this little broad have herpes,My nigga say she fast like Jackie Joyner-Kersee,Gold medals if we gave hoes medals,No rose petals on a bed in the ghettos,Spiderman sheets got us singing falsetto,Tall white tee's, can't believe we used to wear those,White folks looking at us like we're weirdos,But we was only kiddo's,Grabbing titties in the club, pocket full of skittles,Tryna get the kitty was like tryna solve a riddle,Tryin' get to Diddy cause I murder instrumentals,It's that good old fashioned Mark Jackson,Fucked then I'll pass, y'all Utah Jazz,And y'all borin', I don't play nigga I'm Mark Madsen,That's why my knots thick like a fucking Kardashian,I'm not asking my nigga I don't need favors,I'm in the streets with the fiends, I done seen danger,My team major, we party like teenagers,I'm in the green Range, nigga I'm the green ranger,(I fucking ran out of breath),Team major, we party like teenagers,I'm in the green Range, nigga I'm the green ranger,Cole,Yeah, yeah, yeah,I don't even like this beat, but fuck it,I'm only gon' spit a few bars cause I don't like this beat,Let's go, uh,Bitch I'm the old news, I'm more like gold shoes,She eat my whole dick, she like Whole Foods,They say I'm old school, but I dropped out,Drop ya body off at a cops house,They throwing up them bricks, you better box out,My niggas got enough white to build Barack house,I got my drawers on, Sam Rothstein,.44 on my waist, Rick Ross jeans,I've been faded, stone wash jeans,New pussy, new money, New Orleans,50 up in that Uzi, G-G-G-G-Unit,I murk you with that bitch, scratch the serial number, re-use it,Uh, I'm from the N.O., stretch niggas out like limo's,That Uzi go zit-zit-zit-zit-zit-zit, that's pimples,Uh, I'm 'bout to go banana puddin',Haha, you a dyke cause your man a pussy,Hit you from the blindside, no Sandra Bullock,Never bite the hand that feeds you, always watch the hand that's cooking,Tunechi,Hahahaha, yeah man,D4 hoe,Shout out Cole,You already know what it is,Cole World, Wayne's World,We in this bitch hoe,Special delivery at your front door,Hahahahahahaa,Red bow biatch!",Green Ranger,Dedication 4,2012,Obama,47.8,"33,072",27.2,31.9
Killer Mike,"Our government has a firm policy not to capitulate to terrorist demands. That no-concessions policy remains in force, despite the wildly speculative and false stories about arms for hostages and alleged ransom payments, we did not, repeat, did not trade weapons or anything else for hostages, nor will we,The ballot or the bullet,, some freedom or some bullshit,Will we ever do it big, or keep just settling for little shit,We brag on having bread, but none of us are bakers,We all talk having greens, but none of us own acres,If none of us on acres, and none of us grow wheat,Then who will feed our people when our people need to eat,So it seems our people starve from lack of understanding,Cos all we seem to give them is some balling and some dancing,And some talking about our car and imaginary mansions,We should be indited for bullshit we inciting,Hand the children death and pretend that its exciting,We are advertisements for agony and pain,We exploit the youth, we tell them to join a gang,We tell them dope stories, introduce them to the game,Just like Oliver North introduced us to cocaine,In the 80s when the bricks came on military planes,A few months ago I told the american people I did not trade arms for hostages. My heart and my best intentions still tell me that's true, but the facts and the evidence tell me it is not,The end of the Reagan Era, I'm like number twelver,Old enough to understand the shit'll change forever,They declared the war on drugs like a war on terror,But it really did was let the police terrorize whoever,But mostly black boys,, but they would call us ""niggers"",And lay us on our belly, while they fingers on they triggers,They boots was on our head, they dogs was on our crotches,And they would beat us up if we had diamonds on our watches,And they would take our drugs and money, as they pick our pockets,I guess that that's the privilege of policing for some profit,But thanks to Reaganomics, prisons turned to profits,Cos free labor is the cornerstone of US economics,Cos slavery was abolished, unless you are in prison,You think I am bullshitting, then read the 13th Amendment,Involuntary servitude and slavery it prohibits,That's why they giving drug offenders time in double digits,Ronald Reagan was an actor, not at all a factor,Just an employee of the country's real masters,Just like the Bushes, Clinton and Obama,Just another talking head telling lies on teleprompters,If you don't believe the theory, then argue with this logic,Why did Reagan and Obama both go after Qaddafi,We invaded sovereign soil, going after oil,Taking countries is a hobby paid for by the oil lobby,Same as in Iraq, and Afghanistan,And Ahmadinejad say they coming for Iran,They only love the rich, and how they loathe the poor,If I say any more they might be at my door,Who the fuck is that staring in my window,Doing that surveillance on,Mister Michael Render,I'm dropping off the grid before they pump the lead,I leave you with four words: I'm glad Reagan dead",Reagan,R.A.P. Music,2012,Obama,47.8,"33,072",27.2,31.9
