artist,lyrics,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate
Mac Miller,  1 mac milleruh lemme get oneway ticket picked destinationim tryna catch train leave stationpackin bags nothin clothes backwith cognac let sip it tryna relaxred wine glass plus filet mignoni got army right me im genghis khanyeah world i guess ill take oni might stop see girl i aint stayin longwhat im gone fuck gon think theni told story put life inside ink pensaid ill make big when everybody know mewell i made big and everybody phonyhaha could pour me i need cupno none liquor mixin purple stuffi could talk pain would hurt muchgo head judge me hate cost money love freehookthey dreams turn em realitydoublecup lean standin balconylooking sky thinkin could mineall got memories fuck timethey dreams turn em realitydoublecup lean standin balconylooking street thinkin could mineall got memories fuck timeso fuck timeask em fuck time x2  2 mac millerwhat think could iconbecause people get screamin lights onlike seen ghost earn stripes zebra coatracin gate flight gonenow writers taking shots without nikonbut i fight though figure typoseems shit now gonna alright thoughpotion sprite night slows down downsee thats exactly i needmy khakis filled cheese homie sap beatlike donald trump fucking hit i call lovethey throw im walking clubhey burgh shit i deserve thiswell i think lookin surfacelearn quick im big timefill cup up imma sip minehookthey dreams turn em realitydoublecup lean standin balconylooking sky thinkin could mineall got memories fuck timethey dreams turn em realitydoublecup lean standin balconylooking street thinkin could mineall got memories fuck timeso fuck timeask em fuck time x2,Thoughts From A Balcony,Macadelic,2012,Obama,47.8,"33,072",27.2,31.9
Rick Ross,when 16 aint enoughits funny mind latelyhaving dope beat dope ideasixteen bars aint enoughhow fuck i squeeze whole life 16 bar  you know many different levels living lifedepicting wordplay exactly life means yousixteen aint enoughi know yall gonna feel oneyou gotta feel oneits funny things change funny time flymore feet travel i feel flymore i make now chicks smileshe call local nigga i opened swiss accounteisenhower status etta james dashsmooth john coltrane cruising cadillacseville  feel life realwe last poets world premiererolling like mick jagger women getting badderall i see money cream eric claptonand i wanted one 16 aint enoughtalking fast money 15 every monthwhen people labelled poor motivated moreeverything i ever wore worn beforeroll punches box office numbersdressed like sammy davis steaming marijuanadouble mgs double m feeswe every hood nigga government cheeseyacht yachtmasters old dirty bastardfloor seat heat paper im stackinbetter put away penny rainy dayspick roll give go fuck fade awayliving like scottie pippen dribble riddles vittlesstarted scribble im flowing rivershe say heart cold im naming son decemberwhitney died night grammys  damn memorytrump tower i started 10 speedborn broke use niggas instinctsnow i get hundred racks 16waking turkey bacon thick queenniggas hating im watching big screen3 stacks beat kicks meanwhen 16 aint enoughyou know sometimes got much say butthey on give 16 hehman like i mean i got much saythe world said much me i wanna give right back embut i get 16 thats like cage knowi really cant say i wanna say know glimpsethats all one uh one little single glimpsejust pagebut i guess im defeating purpose talkingsummer 88 89or wintertime ah nevermindim room boomingdrawin ll cool j album covers crayolas construction paperim trying fuck neighbor im tryna hook waves upim tryna pull grades up get saddle lace upsbefore lil marc jacob girls wore makeupbefore voice would break up wed tour shake clubsbefore mama wake up crumbs would cake upbefore tell love well never break upbefore time makes love someone i thought homeboybut boy i wrong nowi budge want much roof porchand porsche horse unfortunatelybut course assortment torches scorches skin enterintruders whose tutors lousy jobhows god lets lucifer let loose usthat noose us loosen up loose enough juice us upmake us think much biglike let us win i cant pretendbut i admit feel good hood pseudocelebratehence every time dine eat belly achesthen go grab finest wine drink itlike know grape region came fromas name em hint hint aint um welchshell fell three thousand degrees cooleryall cant measure worthbut try need ruler made greek godsbecause odds always stacked backs walli feel right home yall sitting right homeall kelly green envy im jelly beans descendinginto palm child looks mama smilewith devilish grin like where hell beenshe yelling sellings sin well telling young menthat selling sin offer new ways wina dolphin gon shake fin regardless gets inor water important thing swimand flipper hold nose shall i hold tonguei miss days old one could hold gal armand i set alarms cameras snap snap snap snapreturn fire papapa pa papa pa pa patheyll learn why mere privacy essentialthey make laws i break laws til see windowi take fall make treat human kind gentleforsake all i hate all like em pretend toyea something tells aint kansas anymoreall shit used cool aint cool anymoreall women pursuing want moreand deserve all settle aint yourswhen 16 aint enoughwhen 16 aint enoughwhen 16 aint enoughwhen 16 aint enoughwhen 16 aint enoughdoes mama know see me know freakydoes ever wonder bout ya i speakingdo ever ponder im get sleepyhow hell im gonna tell youth meyeadoes daddy think perfect know certaindoes know act pull back curtainsdo think im 2pac cause im black put words indoes know daughter might caught real mermanyea,Sixteen,"God Forgives, I Don't",2012,Obama,47.8,"33,072",27.2,31.9
Charli XCX,baby hurts become coldyoure starting hurt heart left darknow i got think change i want see faceim starting hurt hard huh youbrook candywe bonnie  clyde shitkept row always let take first shitwhen feds caught us i said i would take repcause i knew aint easy livin live trapi queen b jay zthe one held i fcking crazyivonne trump shit coulda ran worldyou chris grant i homie girllet put feet i cooking breakfastthought i found rider yeah regret shitlog email cause i knew shit wrongclimbing private whoto bitch showing thongand i look lil closer home girl lisatime terminate shit hasta la vistamarried mob i put hit itcandy right took shit itbaby hurts become coldyoure starting hurt heart left darknow i got think change i want see faceim starting hurt hard huh youoh ohnow im fcking shitaapply pickupand drive super sonic crush burn sisterno i need mister sorta baby sitterim never going down easy resist youyou broke heatand im never gon forget thisyou broke heatand i coming back get you knowbaby hurts become coldyoure starting hurt heart left darknow i got think change i want see faceim starting hurt hard huh youoh ohbaby hurts become coldyoure starting hurt heart left darknow i got think change i want see faceim starting hurt hard huh youoh oh,Cloud Aura,Super Ultra,2012,Obama,47.8,"33,072",27.2,31.9
Jennifer Hudson,you gotta act like womanand think like manwhy call dream bedand foolish i believe thatyou said every king needs queen babethats needed babyright lost loveyou go mess things upnow theres babetheres theres babythere us trustthere happen change i knowsilly you silly me silly us ive waitbut love love loveyou gotta act like woman think like manbut love love loveyou gotta act like woman think like mannow im gonna keep realer i ever beenwish would never been girl better friendsyou tell me went right whenum i need itcause girlfriend good thingyou combining hitting ooh give good thangthen finishedyou go way i go way whatevertell ever happensthink wanna gonna betterand im telling liesall i hate see tears eyesof course i want cake needed too im guyand course understandbut would thought like man lovebut love love loveyou gotta act like woman think like manbut love love loveyou gotta act like woman think like mantime cost money expensiveversace lenny got women blowing kissesleaning auto photogeniccan i take picture mona lisaliving like princess fairy taleyou know people barney show tellbentley black ninja see poney tail5 karat yellow diamond know wellpenthouse set drunks call sellshe called night twom i call cabyou understand altitude im balling atim game wood owner atsoldiers bout sameboy tell everythingyeah show thinkyoure one blameits shameyeah lost game tell playin love love loveyou gotta act like woman think like manbut love love loveyou gotta act like woman think like manact like woman act like womangotta act like woman,Think Like a Man,Think Like a Man (Music from and Inspired by the Film),2012,Obama,47.8,"33,072",27.2,31.9
Rich Homie Quan,aye i made an oath to my homies mani told em aint gotta hurt no moreand i told em thats my word manrich homie baby yeahthey tell me make a wishand i say whole thanggive them folks my aliasand not my whole namemy cousin on my daddy side sell cocainetake off on that purple call soul planei get my blow from bone and ricky cause they dope the sameif you get locked up unpredicted then that hoe to blameshould of never let that bitch knew you was on wayyou can blow from out that sack if you keep your pokerfacefuck that break your shoulder bladeswhole trumph dont throw ya spaidesleft my xbox in the water so i can soak the gamei heard yo lawyer blowed the case you need yo own helpnigga you cant do shit for mebitch i pay my own selfhome employedmy rich homies aint gotta work no morethey sayingi cant put rich homies on my shirt no morei got em paying fa my attention aint gone hurt beforeevery chance im with em i tell my niggas thatwe aint gone hurt no yeahi tell em we aint gone hurt no yeahwe aint gone hurt no morei tell em we aint gone hurt no yeahif you was thinking i was gone im back babyhate picking up the phone send a fax babyim riding in a ghost call it pat swazyyo mama did dope while she was pregnant nigga yous a crack babyno keyboard but im backspacingno precious i love fat facesif it dont make money then it dont make senserich homies they stank cause they on they shitand ion get hit nigga i aint vick niggasee imma rich nigga but ill spray spray sprayi got me six figuresmy clique bigger than the kkk its a whole lotta usyou aint shit nigga we aint with niggayou say you killed nigga but you aint killed niggasim a real niggalemme tell you how it is niggathese niggas try to come in your face just to see whats going onand be the same ones that take off when everything start going wrongthey say that lame bitch straight and she aint hurt fa nothingthat same nigga hatinggot em working fa mehome employedmy rich homies aint gotta work no morethey sayingi cant put rich homies on my shirt no morei got em paying fa my attention aint gone hurt beforeevery chance im with em i tell my niggas thatwe aint gone hurt no yeahi tell em we aint gone hurt no yeahwe aint gone hurt no morei tell em we aint gone hurt no yeahwe aint gone hurt no yeahwe aint gone hurt no morei tell em we aint gone hurt no mor,Hurt No More,Still Goin' In,2012,Obama,47.8,"33,072",27.2,31.9
Nas,42nd street terminalyo yo i live i speak itmy religion reeferbig money mostuninhibited freak sleep withmy visions realisticnothing figurativei wish existencegod want nigga liveblunt big dreadi get high forget bledwho stompkicked head left deadwho niggaswhy argue niggasthe truth truthi really put scars niggasthey wear lifetime tell hoes nas thispointing scars likeright here baby really nas thislike badge honor bragging im honestwar stories tell them nothings realer karmasip prohibition liquor prohibition whiskeyrap jack dempsey matte black bentley pimplyshatterin silence passing round chalicedue indian ancestry weed dispenseryofficial kings gents i mix mingle withfuck icei rock rubies amethystill fuck wife cause groupie scandalousthis bad hood bitches ghetto glamorousyo talking bout niggaswhat talking bout niggasthis nas what naswhat nasty recollect fuckerat seventeen i made seventeen thousand living public housingintegrity intact repping hardthey asking disappear reappear back topsaying nas must naked pictures god somethingto keep winning way like francisas long im breathing ill take chancesa soldier comin home twenty years old legssayin theres sense cry complain go headso much write say yo i know startso ill begin basics flow hearti know think life good cause diamond piecebut life good since i started finding peacei even smiling i angry depressedi rich longer i broke i confessi started broke got rich lost paper made backlike trump up play cashmy niggas like locomotivenas push it mush emqueensbridge bushwickharlembronxall thatyou aint even supposed hereyou know atat night new york eat slice hotuse tongue tear skin hanging roof mouthshit felicissimo melting pot city sweltering hotstaggering drunker cops 2pac shoti crook train iron thing concealedreaching soon i heard iron wheels screechingwhen came halt whoever walked got caughttoken man safe behind locked door sureminor thief shit minor league shit beastinglooking juks young older chiefingin truck play the greatest adventures slick rickbugging imagination sickits ghetto beef sinister niggas snicker yellow teethalcohol aging niggas faster felonieshow dare imust be something air corrupts melook upkeep owned subleaseim yallthis trapped 90s niggasfor trapped 90s niggasha yall nigga,Loco-Motive,Life Is Good,2012,Obama,47.8,"33,072",27.2,31.9
Rick Ross,i guess aint nice way tell youniggas game over huhpray mehallucination money niggas stomach rumblehad fuck haitians break kilo crumblesnigga living rubble get labelled rebelany nigga wan rumble somebody hand shovelgotta silence lambs get buffalo billsteppin sonoma black duffel bag filledgot cute bitch me favor come on realgot meek mill celly nigga worth mili multiply i manage i manage multiplywitness real niggas fail watch fuck niggas strivewitness bitch niggas pale japar  got twentyfiveat point life im trying survivehomicide stay mind christopher wallace timerip legend 2pac shakur ninemakaveli returns  god forgives i dontresurrection real time get richer trumpim rolling dice four five sixyoung nigga 19 four five brickspraying niggas sinners full hategod forgives i dont hustlers relatetrying keep head water niggawe pirates here nigga trying stay afloatand i ride niggasfascination fortune afford mansion porschespanoramas abortions marijuana importeddreams getting cream never extortedseen many things preposterous record itproduct demand profit far behindgot mother pearl fucking father timebabies babies im talking bout i grindniggas thinking voodoo way bricks multiplyingaffiliated wealth associated deathselfmade millionaire snatch triple beam shelfstraight grim reaper air jordans walking streetsblackberry boss  one call ya put sleepim rolling dice four five sixyoung nigga nineteen forty five brickspraying niggas sinners full hategod forgives i dont hustlers relatethe lord light salvationbut i see none fuck niggasfuck heard niggai need feel iti need smell iti need se,Pirates,"God Forgives, I Don't",2012,Obama,47.8,"33,072",27.2,31.9
Kreayshawn,one big room full bad bitchesone big room full bad bitchesone big room full bad bitchesone big room full bad bitchesand stunting likegucci gucci louis louis fendi fendi pradabasic bitches wear shit i even bothergucci gucci louis louis fendi fendi pradabasic bitches wear shit i even bothergucci gucci louis louis fendi fendi pradathe basic bitches wear shit i even botheri put partner i put familyoakland city represent address majestyyeah kiss ring never touch crowni smoke million swisher blunts i aint never coming downbitch aint barbie i see work arbysnumber 2 supersized hurry im starvinggnarly radical block im magicalsee college campus baggie full adderallscall need fix call need boostsee chicken heads they never leave coopim coupe cruising i got stolen platesserving fiends golden gatebridge im colder fridge freezerim snatching bitches leisureone big room full bad bitchesone big room full bad bitchesone big room full bad bitchesone big room full bad bitchesand stunting likegucci gucci louis louis fendi fendi pradabasic bitches wear shit i even bothergucci gucci louis louis fendi fendi pradabasic bitches wear shit i even bothergucci gucci louis louis fendi fendi pradaim lookin like madonna im flossing like ivanatrump know i keep work trunkgot hand pump wanna press luckim yelling free vnasty til throat raspyyoung rich flashy i cash beyou cant find that i think need google mapmy pearlhandled kittycat leave press noodle backim rolling catnip shitting litterwhy looking bitter i looking betterthe type bitch make wish aint never met herthe editor director plus im bossso posh nails fierce gold glosswhich means nobody getting mei got swag pumping ovariesone big room full bad bitchesone big room full bad bitchesone big room full bad bitchesone big room full bad bitchesand stunting likegucci gucci louis louis fendi fendi pradabasic bitches wear shit i even bothergucci gucci louis louis fendi fendi pradabasic bitches wear shit i even botheroh basic ass hoes thereman i got rooms full bad bitchesthey need gucci need louiswe swagging ehh meow,Gucci Gucci,Somethin' Bout Kreay,2012,Obama,47.8,"33,072",27.2,31.9
Lil Wayne,when shit dropped i like 16tryna get head mixed thing big dreamssay goodbye ripped jeans nigga got jobhad little wad worst fear getting robbedfor last 50 dollars i left over5 dollars pocket nigga left shoulderminimum wage 515 13s whip kept shit cleanuh actually momma shitbut im driving round town obama shitmiddle class ass get tank gashad run guns street pawn shitbut yeah im headed scholarshiplittle scrap game i got lot lipthats niggas like always wanna fight mea dumb nigga hate smart mouth mostlikelyuh i know game im expertnigga gonna jump legs worknigga im gone showed crib tryna boneand i aint fuck yet cause momma always homegod damn lorlord have mercyplease god let little broad herpesmy nigga say fast like jackie joynerkerseegold medals gave hoes medalsno rose petals bed ghettosspiderman sheets got us singing falsettotall white tees cant believe used wear thosewhite folks looking us like were weirdosbut kiddosgrabbing titties club pocket full skittlestryna get kitty like tryna solve riddletryin get diddy cause i murder instrumentalsits good old fashioned mark jacksonfucked ill pass yall utah jazzand yall borin i play nigga im mark madsenthats knots thick like fucking kardashianim asking nigga i need favorsim streets fiends i done seen dangermy team major party like teenagersim green range nigga im green rangeri fucking ran breathteam major party like teenagersim green range nigga im green rangercoleyeah yeah yeahi even like beat fuck itim gon spit bars cause i like beatlets go uhbitch im old news im like gold shoesshe eat whole dick like whole foodsthey say im old school i dropped outdrop ya body cops housethey throwing bricks better box outmy niggas got enough white build barack housei got drawers on sam rothstein44 waist rick ross jeansive faded stone wash jeansnew pussy new money new orleans50 uzi gggguniti murk bitch scratch serial number reuse ituh im no stretch niggas like limosthat uzi go zitzitzitzitzitzit thats pimplesuh im bout go banana puddinhaha dyke cause man pussyhit blindside sandra bullocknever bite hand feeds you always watch hand thats cookingtunechihahahaha yeah mand4 hoeshout coleyou already know iscole world waynes worldwe bitch hoespecial delivery front doorhahahahahahaared bow biatch,Green Ranger,Dedication 4,2012,Obama,47.8,"33,072",27.2,31.9
Killer Mike,our government firm policy capitulate terrorist demands that noconcessions policy remains force despite wildly speculative false stories arms hostages alleged ransom payments not repeat trade weapons anything else hostages wethe ballot bullet freedom bullshitwill ever big keep settling little shitwe brag bread none us bakerswe talk greens none us acresif none us acres none us grow wheatthen feed people people need eatso seems people starve lack understandingcos seem give balling dancingand talking car imaginary mansionswe indited bullshit incitinghand children death pretend excitingwe advertisements agony painwe exploit youth tell join gangwe tell dope stories  duce gamejust like oliver north  duced us cocainein 80s bricks came military planesa months ago i told american people i trade arms hostages my heart best intentions still tell thats true facts evidence tell notthe end reagan era im like number twelverold enough understand shitll change foreverthey declared war drugs like war terrorbut really let police terrorize whoeverbut mostly black boys would call us niggersand lay us belly fingers triggersthey boots head dogs crotchesand would beat us diamonds watchesand would take drugs money pick pocketsi guess thats privilege policing profitbut thanks reaganomics prisons turned profitscos free labor cornerstone us economicscos slavery abolished unless prisonyou think i bullshitting read 13th amendmentinvoluntary servitude slavery prohibitsthats giving drug offenders time double digitsronald reagan actor factorjust employee countrys real mastersjust like bushes clinton obamajust another talking head telling lies telepromptersif believe theory argue logicwhy reagan obama go qaddafiwe invaded sovereign soil going oiltaking countries hobby paid oil lobbysame iraq afghanistanand ahmadinejad say coming iranthey love rich loathe poorif i say might doorwho fuck staring windowdoing surveillance onmister michael renderim dropping grid pump leadi leave four words im glad reagan dead,Reagan,R.A.P. Music,2012,Obama,47.8,"33,072",27.2,31.9
